iter	MultiClass
0	1.657219471
1	1.463307189
2	1.321183375
3	1.206682175
4	1.114862262
5	1.037909048
6	0.9716047219
7	0.9169570289
8	0.8696716073
9	0.8261835364
10	0.78993213
11	0.7564846573
12	0.7255320061
13	0.6971784485
14	0.6737184745
15	0.6521020074
16	0.6294329826
17	0.6122767158
18	0.5956248275
19	0.5785465867
20	0.5663190443
21	0.5518522931
22	0.5394545056
23	0.527924769
24	0.517967265
25	0.5088965344
26	0.5013649505
27	0.4914443475
28	0.4846950771
29	0.4755825297
30	0.4692697607
31	0.4623402967
32	0.45608498
33	0.4507495207
34	0.4451116452
35	0.4400779661
36	0.4347802252
37	0.4290080994
38	0.4258808141
39	0.4227248771
40	0.4182429317
41	0.4139927462
42	0.4102756395
43	0.4065432512
44	0.4026729
45	0.3981787468
46	0.395474482
47	0.3922428623
48	0.3897433276
49	0.3868227767
50	0.3847305615
51	0.3817990793
52	0.3791957271
53	0.3774681129
54	0.3744501061
55	0.3717595829
56	0.3701245864
57	0.3680646241
58	0.3652863568
59	0.3634585473
60	0.3621875083
61	0.360647242
62	0.3586067308
63	0.3570252552
64	0.3552889274
65	0.3535867538
66	0.351948669
67	0.3506063892
68	0.3487202318
69	0.3476094012
70	0.3464824878
71	0.3450580633
72	0.3437640899
73	0.3422802254
74	0.3405976098
75	0.338744237
76	0.3372685819
77	0.3364759611
78	0.3346770605
79	0.3338011267
80	0.3320018155
81	0.330714398
82	0.3296384409
83	0.3286291321
84	0.3272803453
85	0.3263800925
86	0.3254032991
87	0.3241636642
88	0.3228242586
89	0.3216499837
90	0.3202193688
91	0.318874419
92	0.3175027169
93	0.3166921048
94	0.3158316868
95	0.3148722843
96	0.3137921657
97	0.3128805998
98	0.3122492415
99	0.3114858269
100	0.3105122802
101	0.3097186471
102	0.3089387856
103	0.308020744
104	0.3070073078
105	0.305745868
106	0.3048376786
107	0.3041675079
108	0.3033314483
109	0.3029020879
110	0.3020424637
111	0.3012211512
112	0.3005430453
113	0.3000092315
114	0.2992232173
115	0.2979795818
116	0.297163768
117	0.2964144396
118	0.2956219615
119	0.2950412589
120	0.2944539161
121	0.2938002466
122	0.2932423044
123	0.2926131884
124	0.2919234178
125	0.2914576224
126	0.290863549
127	0.2900872804
128	0.2895601413
129	0.2887215388
130	0.2880397119
131	0.2877559321
132	0.2874383119
133	0.2869935334
134	0.2864248796
135	0.2856996401
136	0.2850944993
137	0.2845372269
138	0.283878246
139	0.2832257123
140	0.2826145394
141	0.2820663373
142	0.2815110084
143	0.2808832417
144	0.2804345554
145	0.2797705483
146	0.2793642853
147	0.2788021732
148	0.2780731355
149	0.2775427794
150	0.2770291499
151	0.2766251273
152	0.2761224044
153	0.275619359
154	0.2752408181
155	0.2748273869
156	0.2742396272
157	0.2738897989
158	0.2729923113
159	0.2724607693
160	0.272100506
161	0.2716530599
162	0.2710677012
163	0.2708031799
164	0.2703355899
165	0.2699741694
166	0.2693179471
167	0.2688449589
168	0.2684505602
169	0.2680207062
170	0.2676352797
171	0.2671674789
172	0.2667850792
173	0.2664365214
174	0.2660865924
175	0.2657079778
176	0.2654020202
177	0.2649682772
178	0.264549156
179	0.2638955365
180	0.2635094692
181	0.2630957197
182	0.2626877146
183	0.2624012421
184	0.2621043408
185	0.2616255372
186	0.2610113331
187	0.2606337946
188	0.2604090188
189	0.2601337838
190	0.2595211423
191	0.2592222914
192	0.258870225
193	0.2584623929
194	0.2580373439
195	0.2577033067
