iter	Passed	Remaining
0	270	270467
1	353	176422
2	417	138722
3	510	127101
4	585	116534
5	656	108691
6	778	110496
7	909	112811
8	1250	137660
9	1531	151641
10	1739	156414
11	1884	155166
12	2057	156224
13	2157	151945
14	2222	145926
15	2305	141812
16	2410	139375
17	2485	135573
18	2552	131767
19	2615	128145
20	2665	124275
21	2720	120933
22	2779	118086
23	2850	115911
24	2902	113181
25	2952	110608
26	3014	108625
27	3099	107607
28	3158	105762
29	3208	103756
30	3258	101856
31	3314	100258
32	3361	98498
33	3412	96949
34	3458	95356
35	3521	94293
36	3568	92871
37	3618	91597
38	3661	90215
39	3721	89308
40	3772	88239
41	3818	87097
42	3865	86039
43	3910	84964
44	3963	84105
45	4021	83394
46	4083	82790
47	4135	82013
48	4188	81292
49	4257	80900
50	4308	80180
51	4355	79409
52	4415	78895
53	4470	78318
54	4520	77663
55	4567	76997
56	4615	76359
57	4669	75834
58	4722	75322
59	4771	74755
60	4860	74813
61	4953	74936
62	5053	75167
63	5147	75287
64	5236	75324
65	5300	75013
66	5362	74674
67	5428	74396
68	5485	74015
69	5546	73686
70	5594	73198
71	5643	72738
72	5691	72278
73	5749	71941
74	5798	71514
75	5846	71083
76	5897	70693
77	5942	70243
78	6006	70029
79	6060	69696
80	6125	69492
81	6170	69077
82	6219	68714
83	6273	68412
84	6323	68073
85	6364	67638
86	6409	67266
87	6460	66949
88	6522	66762
89	6569	66420
90	6616	66097
91	6661	65745
92	6719	65537
93	6767	65226
94	6814	64918
95	6863	64630
96	6905	64286
97	6958	64050
98	7013	63834
99	7072	63656
100	7117	63355
101	7164	63071
102	7213	62821
103	7267	62609
104	7314	62348
105	7363	62099
106	7413	61871
107	7464	61651
108	7512	61410
109	7558	61158
110	7608	60940
111	7654	60686
112	7712	60541
113	7762	60329
114	7809	60102
115	7853	59847
116	7901	59634
117	7961	59506
118	8015	59341
119	8062	59122
120	8111	58923
121	8158	58712
122	8214	58571
123	8263	58381
124	8314	58202
125	8361	57997
126	8409	57804
127	8465	57668
128	8515	57495
129	8570	57354
130	8614	57147
131	8661	56953
132	8713	56798
133	8761	56625
134	8808	56441
135	8857	56268
136	8904	56093
137	8956	55945
138	9019	55868
139	9069	55712
140	9116	55539
141	9169	55401
142	9223	55278
143	9271	55114
144	9317	54941
145	9368	54799
146	9429	54718
147	9475	54546
148	9525	54404
149	9575	54261
150	9620	54093
151	9672	53962
152	9721	53817
153	9767	53658
154	9816	53517
155	9863	53362
156	9913	53228
157	9965	53105
158	10015	52976
159	10063	52831
160	10110	52687
161	10164	52578
162	10213	52447
163	10257	52286
164	10302	52138
165	10351	52004
166	10433	52044
167	10492	51965
168	10547	51862
169	10603	51769
170	10662	51692
171	10744	51723
172	10796	51610
173	10852	51517
174	10897	51372
175	10955	51292
176	11001	51153
177	11047	51015
178	11093	50881
179	11153	50809
180	11195	50660
181	11243	50535
182	11288	50397
183	11329	50242
184	11373	50105
185	11434	50041
186	11483	49926
187	11529	49797
188	11574	49664
189	11630	49584
190	11679	49469
191	11722	49333
192	11772	49223
193	11819	49105
194	11872	49013
195	11919	48892
